week,rsv_cases_65_baseline,flu_season,start_year,calendar_year,year_week,uptake_shape,season_week,season_cov,template_shape,vax_weekly,vax_cov,vax_weekly_lag2,vax_cov_lag2,scenario,inc_future,epi_time,cases_future,hosp_baseline,VE_used,hosp_with_vaccine,hosp_avoided,deaths_baseline,deaths_with_vaccine,deaths_avoided,costs_saved,vaccinated_weekly,vaccination_costs,net_cost
46,61784.98855322787,2028-2029,2028,2028,2028-46,0.0,7,0.5684862776569074,0.0530654585004919,0.0301669849751017,0.2680415538579063,0.0335537003084762,0.106041246122059,mid,13.459984594600702,2028.8653846153845,32156.455055869457,3215.645505586946,0.7,2976.9517660374795,238.6937395494665,229.27552454834927,212.2566609184723,17.01886362987696,2768608.685034262,72070.16395190194,10810524.592785291,8041915.907751029
47,74891.45784655388,2028-2029,2028,2028,2028-47,0.0,8,0.5684862776569074,0.0502283169702598,0.0285541089473942,0.2965956628053006,0.0318333227607455,0.1378745688828045,mid,15.063432607469512,2028.8846153846155,35987.15809998157,3598.715809998157,0.7,3251.3958364134974,347.3199735846597,256.58843725286863,231.82452313628238,24.76391411658625,4028564.3736084676,68216.93699379159,10232540.549068738,6203976.17546027
48,78791.11519847276,2028-2029,2028,2028,2028-48,0.0,9,0.5684862776569074,0.0474841898848168,0.0269941103551733,0.3235897731604739,0.0301669849751017,0.1680415538579063,mid,16.541192982270903,2028.9038461538462,39517.58822355747,3951.758822355747,0.7,3486.917037269502,464.8417850862447,281.76040403396473,248.6171847573155,33.14321927664923,5391699.865215353,64490.036397033575,9673505.459555035,4281805.594339683
49,93357.77378230238,2028-2029,2028,2028,2028-49,0.0,10,0.5684862776569074,0.0448320379004977,0.0254863983458273,0.3490761715063012,0.0285541089473942,0.1965956628053006,mid,17.559993561973105,2028.923076923077,41951.54457928979,4195.154457928979,0.7,3617.830038069968,577.3244198590114,299.1145128503362,257.9512817143887,41.16323113594751,6696385.945944673,60888.0505905136,9133207.58857704,2436821.642632366
50,99881.3248097,2028-2029,2028,2028,2028-50,0.0,11,0.5684862776569074,0.0422708097927226,0.024030375312608,0.3731065468189093,0.0269941103551733,0.2235897731604739,mid,19.086971766122982,2028.9423076923076,45599.558115110216,4559.955811511022,0.7,3846.264171648748,713.6916398622743,325.1248493607359,274.2386354385557,50.88621392218016,8278109.3307625195,57409.551867208334,8611432.78008125,333323.4493187303
51,109526.88845336525,2028-2029,2028,2028,2028-51,0.0,12,0.5684862776569074,0.0397994420389596,0.0226254366575499,0.3957319834764593,0.0254863983458273,0.2490761715063012,mid,19.48018990704087,2028.9615384615386,46538.97237570683,4653.897237570683,0.7,3842.474803008183,811.4224345624998,331.8228730387897,273.96845345448344,57.85441958430624,9411688.818490434,54053.09581778967,8107964.372668451,-1303724.4458219837
52,97597.25251858616,2028-2029,2028,2028,2028-52,0.0,13,0.5684862776569074,0.0374168583766998,0.0212709705401857,0.4170029540166451,0.024030375312608,0.2731065468189093,mid,19.744023333619165,2028.9807692307693,47169.28124897286,4716.928124897287,0.7,3815.171358648703,901.7567662485835,336.3169753051765,272.0217178716525,64.295257433524,10459476.73171732,50817.22073029578,7622583.1095443675,-2836893.6221729526
1,88716.35546435432,2028-2029,2028,2029,2029-01,0.0,14,0.5684862776569074,0.0280662610265842,0.0159552842587499,0.432958238275395,0.0226254366575499,0.2957319834764593,mid,21.125035630594045,2029.0,50468.576247950026,5046.857624795003,0.7,4002.09557380226,1044.7620509927433,359.84094864788375,285.3494144121011,74.49153423578264,12118195.02946483,38117.82826080812,5717674.239121218,-6400520.7903436115
2,84828.87590899944,2028-2029,2028,2029,2029-02,0.0,15,0.5684862776569074,0.0268748536342184,0.015277985505091,0.4482362237804861,0.0212709705401857,0.3170029540166451,mid,18.734314167850673,2029.0192307692307,44757.04465387614,4475.704465387614,0.7,3482.53638960426,993.1680757833537,319.1177283821369,248.30484457878373,70.81288380335315,11519756.51101112,36499.73376906811,5474960.065360216,-6044796.4456509035
3,68763.05622401096,2028-2029,2028,2029,2029-03,0.0,16,0.5684862776569074,0.0253384153233142,0.0144045414088756,0.4626407651893618,0.0159552842587499,0.332958238275395,mid,15.666124779030692,2029.0384615384614,37427.01440822026,3742.701440822026,0.7,2870.387146133207,872.3142946888192,266.8546127306105,204.65860351929766,62.19600921131283,10117973.504095614,34413.04001200157,5161956.001800235,-4956017.502295379
