week,rsv_cases_65_baseline,flu_season,start_year,calendar_year,year_week,uptake_shape,season_week,season_cov,template_shape,vax_weekly,vax_cov,vax_weekly_lag2,vax_cov_lag2,scenario
4,60022.082962059045,2030-2031,2030,2031,2031-04,0.0,17,0.6541255400162422,0.020957564754174735,0.013708878362249913,0.5309794364821365,0.017579528146340617,0.40069605351336784,mid
5,48451.11924660505,2030-2031,2030,2031,2031-05,0.0,18,0.6541255400162422,0.019842931191062136,0.012979768080858656,0.5439592045629952,0.016574504606518735,0.4172705581198866,mid
6,48583.186685876695,2030-2031,2030,2031,2031-06,0.0,19,0.6541255400162422,0.01847109284060652,0.012082413579051885,0.5560416181420471,0.013708878362249913,0.4309794364821365,mid
7,43047.953588625904,2030-2031,2030,2031,2031-07,0.0,20,0.6541255400162422,0.01739309097156841,0.011377265024328813,0.5674188831663759,0.012979768080858656,0.44395920456299515,mid
8,46424.20742004248,2030-2031,2030,2031,2031-08,0.0,21,0.6541255400162422,0.01616405247948285,0.010573319556992599,0.5779922027233685,0.012082413579051885,0.4560416181420471,mid
9,40645.207521865006,2030-2031,2030,2031,2031-09,0.0,22,0.6541255400162422,0.015119592231622573,0.009890111433335496,0.587882314156704,0.011377265024328813,0.46741888316637586,mid
10,32985.30510404069,2030-2031,2030,2031,2031-10,0.0,23,0.6541255400162422,0.013932671778213189,0.00911371645079276,0.5969960306074967,0.010573319556992599,0.47799220272336845,mid
11,31108.524501525273,2030-2031,2030,2031,2031-11,0.0,24,0.6541255400162422,0.012883281761658568,0.008427283639526315,0.605423314247023,0.009890111433335496,0.48788231415670397,mid
12,27001.663871025423,2030-2031,2030,2031,2031-12,0.0,25,0.6541255400162422,0.011821258099295946,0.007732586837873338,0.6131559010848964,0.00911371645079276,0.49699603060749675,mid
13,28771.483090703416,2030-2031,2030,2031,2031-13,0.0,26,0.6541255400162422,0.010794367430770635,0.007060871424786579,0.6202167725096829,0.008427283639526315,0.505423314247023,mid
14,25397.346219665214,2030-2031,2030,2031,2031-14,0.0,27,0.6541255400162422,0.009874724554315619,0.0064593095316033515,0.6266760820412863,0.007732586837873338,0.5131559010848964,mid
15,21840.778408156617,2030-2031,2030,2031,2031-15,0.0,28,0.6541255400162422,0.008977329209662462,0.005872300317174043,0.6325483823584603,0.007060871424786579,0.5202167725096829,mid
16,23477.614230762567,2030-2031,2030,2031,2031-16,0.0,29,0.6541255400162422,0.008109688823336632,0.005304754580928758,0.637853136939389,0.0064593095316033515,0.5266760820412864,mid
17,18186.54786064728,2030-2031,2030,2031,2031-17,0.0,30,0.6541255400162422,0.0072920849705532765,0.004769939019207486,0.6426230759585966,0.005872300317174043,0.5325483823584604,mid
42,80724.96411944448,2026-2027,2026,2026,2026-42,0.0,3,0.35080806549423915,0.06536456158967449,0.022930415403152757,0.12293041540315276,0.0,0.0,high
43,64292.215837643445,2026-2027,2026,2026,2026-43,0.0,4,0.35080806549423915,0.06214519310897873,0.02180103497432675,0.14473145037747953,0.0,0.0,high
44,51554.70032329951,2026-2027,2026,2026,2026-44,0.0,5,0.35080806549423915,0.059022885208016594,0.020705704179712844,0.16543715455719235,0.022930415403152757,0.022930415403152757,high
45,70726.19698527816,2026-2027,2026,2026,2026-45,0.0,6,0.35080806549423915,0.0559966423322492,0.01964407377074916,0.18508122832794152,0.02180103497432675,0.04473145037747951,high
46,61784.98855322787,2026-2027,2026,2026,2026-46,0.0,7,0.35080806549423915,0.05306545850049194,0.018615790841122408,0.2036970191690639,0.020705704179712844,0.06543715455719235,high
47,74891.45784655388,2026-2027,2026,2026,2026-47,0.0,8,0.35080806549423915,0.05022831697025985,0.01762049870936832,0.22131751787843224,0.01964407377074916,0.08508122832794152,high
48,78791.11519847276,2026-2027,2026,2026,2026-48,0.0,9,0.35080806549423915,0.047484189884816855,0.01665783679505372,0.23797535467348596,0.018615790841122408,0.10369701916906392,high
49,93357.77378230238,2026-2027,2026,2026,2026-49,0.0,10,0.35080806549423915,0.0448320379004977,0.01572744048803801,0.25370279516152394,0.01762049870936832,0.12131751787843224,high
50,99881.3248097,2026-2027,2026,2026,2026-50,0.0,11,0.35080806549423915,0.04227080979272265,0.014828941010259973,0.26853173617178394,0.01665783679505372,0.13797535467348596,high
51,109526.88845336525,2026-2027,2026,2026,2026-51,0.0,12,0.35080806549423915,0.03979944203895961,0.013961965269437519,0.28249370144122143,0.01572744048803801,0.15370279516152396,high
52,97597.25251858615,2026-2027,2026,2026,2026-52,0.0,13,0.35080806549423915,0.037416858376699856,0.013126135704001994,0.29561983714522344,0.014828941010259973,0.16853173617178394,high
1,88716.35546435432,2026-2027,2026,2027,2027-01,0.0,14,0.35080806549423915,0.02806626102658422,0.009845870736392369,0.30546570788161587,0.013961965269437519,0.18249370144122146,high
2,84828.87590899944,2026-2027,2026,2027,2027-02,0.0,15,0.35080806549423915,0.026874853634218456,0.009427915413861,0.3148936232954768,0.013126135704001994,0.19561983714522346,high
3,68763.05622401096,2026-2027,2026,2027,2027-03,0.0,16,0.35080806549423915,0.02533841532331421,0.008888920462261444,0.3237825437577383,0.009845870736392369,0.20546570788161583,high
4,60022.082962059045,2026-2027,2026,2027,2027-04,0.0,17,0.35080806549423915,0.020957564754174735,0.007352082748882288,0.33113462650662057,0.009427915413861,0.21489362329547682,high
5,48451.11924660505,2026-2027,2026,2027,2027-05,0.0,18,0.35080806549423915,0.019842931191062136,0.0069610603048718064,0.3380956868114924,0.008888920462261444,0.22378254375773826,high
6,48583.186685876695,2026-2027,2026,2027,2027-06,0.0,19,0.35080806549423915,0.01847109284060652,0.006479808346977664,0.34457549515847,0.007352082748882288,0.23113462650662056,high
7,43047.953588625904,2026-2027,2026,2027,2027-07,0.0,20,0.35080806549423915,0.01739309097156841,0.00610163659670123,0.35067713175517123,0.0069610603048718064,0.23809568681149237,high
8,46424.20742004248,2026-2027,2026,2027,2027-08,0.0,21,0.35080806549423915,0.01616405247948285,0.005670479980874739,0.35080806549423915,0.006479808346977664,0.24457549515847002,high
9,40645.207521865006,2026-2027,2026,2027,2027-09,0.0,22,0.35080806549423915,0.015119592231622573,0.005304074901837241,0.35080806549423915,0.00610163659670123,0.25067713175517126,high
10,32985.30510404069,2026-2027,2026,2027,2027-10,0.0,23,0.35080806549423915,0.013932671778213189,0.0048876936336811495,0.35080806549423915,0.005670479980874739,0.256347611736046,high
11,31108.524501525273,2026-2027,2026,2027,2027-11,0.0,24,0.35080806549423915,0.012883281761658568,0.004519559152024655,0.35080806549423915,0.005304074901837241,0.26165168663788324,high
12,27001.663871025423,2026-2027,2026,2027,2027-12,0.0,25,0.35080806549423915,0.011821258099295946,0.004146992685522117,0.35080806549423915,0.0048876936336811495,0.2665393802715644,high
13,28771.483090703416,2026-2027,2026,2027,2027-13,0.0,26,0.35080806549423915,0.010794367430770635,0.003786751156622667,0.35080806549423915,0.004519559152024655,0.27105893942358905,high
14,25397.346219665214,2026-2027,2026,2027,2027-14,0.0,27,0.35080806549423915,0.009874724554315619,0.0034641330181879254,0.35080806549423915,0.004146992685522117,0.27520593210911115,high
15,21840.778408156617,2026-2027,2026,2027,2027-15,0.0,28,0.35080806549423915,0.008977329209662462,0.003149319493346615,0.35080806549423915,0.003786751156622667,0.27899268326573384,high
16,23477.614230762567,2026-2027,2026,2027,2027-16,0.0,29,0.35080806549423915,0.008109688823336632,0.0028449442478749765,0.35080806549423915,0.0034641330181879254,0.2824568162839218,high
17,18186.54786064728,2026-2027,2026,2027,2027-17,0.0,30,0.35080806549423915,0.0072920849705532765,0.0025581222219394108,0.35080806549423915,0.003149319493346615,0.28560613577726834,high
42,80724.96411944448,2027-2028,2027,2027,2027-42,0.0,3,0.5601890267800649,0.06536456158967449,0.03661651014282536,0.13661651014282536,0.0,0.0,high
43,64292.215837643445,2027-2028,2027,2027,2027-43,0.0,4,0.5601890267800649,0.06214519310897873,0.03481305524677799,0.17142956538960336,0.0,0.0,high
44,51554.70032329951,2027-2028,2027,2027,2027-44,0.0,5,0.5601890267800649,0.059022885208016594,0.033063972622430306,0.20449353801203365,0.03661651014282536,0.03661651014282536,high
45,70726.19698527816,2027-2028,2027,2027,2027-45,0.0,6,0.5601890267800649,0.0559966423322492,0.03136870457105406,0.23586224258308772,0.03481305524677799,0.07142956538960335,high
46,61784.98855322787,2027-2028,2027,2027,2027-46,0.0,7,0.5601890267800649,0.05306545850049194,0.029726687553028503,0.26558893013611623,0.033063972622430306,0.10449353801203365,high
47,74891.45784655388,2027-2028,2027,2027,2027-47,0.0,8,0.5601890267800649,0.05022831697025985,0.02813735200037048,0.2937262821364867,0.03136870457105406,0.1358622425830877,high
48,78791.11519847276,2027-2028,2027,2027,2027-48,0.0,9,0.5601890267800649,0.047484189884816855,0.026600122119015353,0.3203264042555021,0.029726687553028503,0.16558893013611622,high
49,93357.77378230238,2027-2028,2027,2027,2027-49,0.0,10,0.5601890267800649,0.0448320379004977,0.02511441568004679,0.34544081993554887,0.02813735200037048,0.1937262821364867,high
50,99881.3248097,2027-2028,2027,2027,2027-50,0.0,11,0.5601890267800649,0.04227080979272265,0.023679643798990537,0.36912046373453944,0.026600122119015353,0.22032640425550204,high
51,109526.88845336525,2027-2028,2027,2027,2027-51,0.0,12,0.5601890267800649,0.03979944203895961,0.022295210702194385,0.39141567443673375,0.02511441568004679,0.24544081993554884,high
52,97597.25251858615,2027-2028,2027,2027,2027-52,0.0,13,0.5601890267800649,0.037416858376699856,0.02096051347921101,0.41237618791594477,0.023679643798990537,0.2691204637345394,high
1,88716.35546435432,2027-2028,2027,2028,2028-01,0.0,14,0.5601890267800649,0.02806626102658422,0.01572241144983748,0.4280985993657822,0.022295210702194385,0.2914156744367338,high
2,84828.87590899944,2027-2028,2027,2028,2028-02,0.0,15,0.5601890267800649,0.026874853634218456,0.015054998102209527,0.44315359746799177,0.02096051347921101,0.3123761879159448,high
3,68763.05622401096,2027-2028,2027,2028,2028-03,0.0,16,0.5601890267800649,0.02533841532331421,0.014194302220116469,0.4573478996881083,0.01572241144983748,0.32809859936578223,high
4,60022.082962059045,2027-2028,2027,2028,2028-04,0.0,17,0.5601890267800649,0.020957564754174735,0.011740197803321334,0.46908809749142955,0.015054998102209527,0.3431535974679918,high
5,48451.11924660505,2027-2028,2027,2028,2028-05,0.0,18,0.5601890267800649,0.019842931191062136,0.011115792312384892,0.48020388980381445,0.014194302220116469,0.35734789968810826,high
6,48583.186685876695,2027-2028,2027,2028,2028-06,0.0,19,0.5601890267800649,0.01847109284060652,0.010347303521943591,0.49055119332575803,0.011740197803321334,0.36908809749142957,high
7,43047.953588625904,2027-2028,2027,2028,2028-07,0.0,20,0.5601890267800649,0.01739309097156841,0.00974341870406004,0.5002946120298181,0.011115792312384892,0.3802038898038145,high
8,46424.20742004248,2027-2028,2027,2028,2028-08,0.0,21,0.5601890267800649,0.01616405247948285,0.009054924827303393,0.5093495368571215,0.010347303521943591,0.39055119332575805,high
9,40645.207521865006,2027-2028,2027,2028,2028-09,0.0,22,0.5601890267800649,0.015119592231622573,0.008469829657544078,0.5178193665146655,0.00974341870406004,0.4002946120298181,high
