flu_season,region,age_class,population
2010-2011,Kentucky,15-19,297116.20800000004
2010-2011,Kentucky,20-24,297116.20800000004
2010-2011,Kentucky,25-29,279638.784
2010-2011,Kentucky,30-34,284008.14
2010-2011,Kentucky,35-39,275269.428
2010-2011,Kentucky,40-44,292746.852
2010-2011,Kentucky,45-49,314593.63200000004
2010-2011,Kentucky,5-9,288377.496
2010-2011,Kentucky,50-54,323332.34400000004
2010-2011,Kentucky,55-59,288377.496
2010-2011,Kentucky,60-64,266530.716
2010-2011,Kentucky,65-69,192251.66400000002
2010-2011,Kentucky,70-74,144188.748
2010-2011,Kentucky,75-79,104864.54400000001
2010-2011,Kentucky,80-84,78648.40800000001
2010-2011,Kentucky,85+,74279.05200000001
2010-2011,Kentucky,total,4369356.0
2010-2011,Louisiana,0-5,311088.848
2010-2011,Louisiana,10-14,315663.684
2010-2011,Louisiana,15-19,320238.52
2010-2011,Louisiana,20-24,347687.53599999996
2010-2011,Louisiana,25-29,324813.35599999997
2010-2011,Louisiana,30-34,306514.01200000005
2010-2011,Louisiana,35-39,279064.996
2010-2011,Louisiana,40-44,288214.668
2010-2011,Louisiana,45-49,315663.684
2010-2011,Louisiana,5-9,306514.01200000005
2010-2011,Louisiana,50-54,324813.35599999997
2010-2011,Louisiana,55-59,297364.34
2010-2011,Louisiana,60-64,265340.48799999995
2010-2011,Louisiana,65-69,178418.604
2010-2011,Louisiana,70-74,141819.916
2010-2011,Louisiana,75-79,105221.228
2010-2011,Louisiana,80-84,73197.376
2010-2011,Louisiana,85+,68622.54
2010-2011,Louisiana,total,4574836.0
2010-2011,Maine,0-5,66409.40000000001
2010-2011,Maine,10-14,78363.092
2010-2011,Maine,15-19,86332.22
2010-2011,Maine,20-24,78363.092
2010-2011,Maine,25-29,73050.34
2010-2011,Maine,30-34,71722.152
2010-2011,Maine,35-39,78363.092
2010-2011,Maine,40-44,88988.596
2010-2011,Maine,45-49,103598.664
2010-2011,Maine,5-9,75706.716
2010-2011,Maine,50-54,110239.604
2010-2011,Maine,55-59,102270.476
2010-2011,Maine,60-64,96957.72399999999
2010-2011,Maine,65-69,66409.40000000001
2010-2011,Maine,70-74,51799.332
2010-2011,Maine,75-79,39845.64
2010-2011,Maine,80-84,30548.324
2010-2011,Maine,85+,29220.136000000002
2010-2011,Maine,total,1328188.0
2010-2011,Maryland,0-5,361353.918
2010-2011,Maryland,10-14,378838.78500000003
2010-2011,Maryland,15-19,402151.94100000005
2010-2011,Maryland,20-24,396323.652
2010-2011,Maryland,25-29,396323.652
2010-2011,Maryland,30-34,378838.78500000003
2010-2011,Maryland,35-39,361353.918
2010-2011,Maryland,40-44,419636.8080000001
2010-2011,Maryland,45-49,448778.25299999997
2010-2011,Maryland,5-9,367182.207
2010-2011,Maryland,50-54,448778.25299999997
2010-2011,Maryland,55-59,384667.074
2010-2011,Maryland,60-64,338040.762
2010-2011,Maryland,65-69,238959.84899999996
2010-2011,Maryland,70-74,163192.09199999998
2010-2011,Maryland,75-79,128222.35800000001
2010-2011,Maryland,80-84,99080.913
2010-2011,Maryland,85+,104909.20200000002
2010-2011,Maryland,total,5828289.0
2010-2011,Massachusetts,0-5,362314.48
2010-2011,Massachusetts,10-14,401839.696
2010-2011,Massachusetts,15-19,461127.52
2010-2011,Massachusetts,20-24,474302.59200000006
2010-2011,Massachusetts,25-29,447952.44800000003
2010-2011,Massachusetts,30-34,415014.768
2010-2011,Massachusetts,35-39,401839.696
2010-2011,Massachusetts,40-44,467715.056
2010-2011,Massachusetts,45-49,507240.272
2010-2011,Massachusetts,5-9,382077.088
2010-2011,Massachusetts,50-54,507240.272
2010-2011,Massachusetts,55-59,454539.98400000005
2010-2011,Massachusetts,60-64,382077.088
2010-2011,Massachusetts,65-69,270088.97599999997
2010-2011,Massachusetts,70-74,204213.616
2010-2011,Massachusetts,75-79,164688.40000000002
2010-2011,Massachusetts,80-84,138338.25600000002
2010-2011,Massachusetts,85+,151513.328
2010-2011,Massachusetts,total,6587536.0
2010-2011,Michigan,0-5,582695.033
2010-2011,Michigan,10-14,661704.5290000001
2010-2011,Michigan,15-19,720961.651
2010-2011,Michigan,20-24,701209.2769999999
2010-2011,Michigan,25-29,582695.033
2010-2011,Michigan,30-34,582695.033
2010-2011,Michigan,35-39,592571.22
2010-2011,Michigan,40-44,651828.3420000001
2010-2011,Michigan,45-49,720961.651
2010-2011,Michigan,5-9,622199.781
2010-2011,Michigan,50-54,760466.399
2010-2011,Michigan,55-59,701209.2769999999
2010-2011,Michigan,60-64,612323.594
2010-2011,Michigan,65-69,424676.04099999997
2010-2011,Michigan,70-74,316037.984
2010-2011,Michigan,75-79,246904.67500000002
2010-2011,Michigan,80-84,197523.74
2010-2011,Michigan,85+,197523.74
2010-2011,Michigan,total,9876187.0
2010-2011,Minnesota,0-5,352760.826
2010-2011,Minnesota,10-14,352760.826
2010-2011,Minnesota,15-19,368795.40900000004
2010-2011,Minnesota,20-24,352760.826
2010-2011,Minnesota,25-29,368795.40900000004
2010-2011,Minnesota,30-34,352760.826
2010-2011,Minnesota,35-39,310001.93799999997
2010-2011,Minnesota,40-44,358105.68700000003
2010-2011,Minnesota,45-49,390174.853
2010-2011,Minnesota,5-9,358105.68700000003
2010-2011,Minnesota,50-54,411554.297
2010-2011,Minnesota,55-59,358105.68700000003
2010-2011,Minnesota,60-64,304657.077
2010-2011,Minnesota,65-69,208449.579
2010-2011,Minnesota,70-74,160345.83
2010-2011,Minnesota,75-79,128276.664
